0.0000       -7.9766331504
0.1000       -7.9734349158
0.3000       -7.8868332861
0.5000       -7.7522938744
0.7000       -7.6135610000
0.9000       -7.4779297114
1.1000       -7.3511138852
1.3000       -7.2365847263
1.5000       -7.1352489363
1.7000       -7.0464541134
1.9000       -6.9688780272
2.1000       -6.9010367670
2.3000       -6.8415210614
2.5000       -6.7890849623
2.7000       -6.7426642191
2.9000       -6.7013648472
3.1000       -6.6644413532
3.3000       -6.6312733196
3.5000       -6.6013438759
3.7000       -6.5742211876
3.9000       -6.5495430616
4.1000       -6.5270043582
4.3000       -6.5063467825
4.5000       -6.4873506330
4.7000       -6.4698281324
4.9000       -6.4536180273
5.1000       -6.4385812046
5.3000       -6.4245971174
5.5000       -6.4115608611
5.7000       -6.3993807703
5.9000       -6.3879764343
